330165670,20141231,201412,2014,2014.989,MNCSEA,AIRASIA,SEA,,,,,MNC,,,IDN,BALI,IDN,,,,,,,,0,36,36,3,1,4.0,1,1,1,1.3871374527112201,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Bali, Jawa Timur, Indonesia",ID,ID08,-7.1046,112.337,10205777,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20150101,http://www.nationmultimedia.com/aec/Rough-seas-stop-search-to-find-bodies-black-box-30251083.html
330165671,20141231,201412,2014,2014.989,MNCSEA,AIRASIA,SEA,,,,,MNC,,,IDN,BALI,IDN,,,,,,,,0,36,36,3,1,4.0,1,1,1,1.3871374527112201,1,Malaysia,MY,MY,2.5,112.5,MY,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20150101,http://www.nationmultimedia.com/aec/Rough-seas-stop-search-to-find-bodies-black-box-30251083.html
330165673,20141231,201412,2014,2014.989,MOS,ISLAMIC,,,,MOS,,,,,,,,,,,,,,,1,43,43,4,1,2.8,4,1,4,2.4132730015082995,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,0,,,,,,,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,20150101,http://www.thedailystar.net/black-box-recovery-could-take-a-week-58138
330165675,20141231,201412,2014,2014.989,MOS,ISLAMIC,,,,MOS,,,,,IDN,INDONESIA,IDN,,,,,,,,1,42,42,4,1,1.9,4,1,4,2.4132730015082995,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,20150101,http://www.thedailystar.net/black-box-recovery-could-take-a-week-58138
330165676,20141231,201412,2014,2014.989,MOS,ISLAMIC,,,,MOS,,,,,IDN,INDONESIA,IDN,,,,,,,,1,42,42,4,1,1.9,8,1,8,2.4132730015082995,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,4,"Desa Sawotratap, Jawa Timur, Indonesia",ID,ID08,-7.37051,112.735,10290609,20150101,http://www.thedailystar.net/black-box-recovery-could-take-a-week-58138
330165813,20141231,201412,2014,2014.989,SGP,SINGAPORE,SGP,,,,,,,,MNCSEA,AIRASIA,SEA,,,,,MNC,,,1,173,173,17,4,-5.0,1,1,1,2.17640320733104,4,"Kalimantan, Indonesia (general), Indonesia",ID,ID00,1.61667,109.18299999999999,-2680735,1,France,FR,FR,46.0,2.0,FR,4,"Kalimantan, Indonesia (general), Indonesia",ID,ID00,1.61667,109.18299999999999,-2680735,20150101,http://www.thestatesman.net/news/97413-searchers-return-to-retrieve-bodies-plane-wreckage.html
330165816,20141231,201412,2014,2014.989,SGP,SINGAPORE,SGP,,,,,,,,MNCSEA,AIRASIA,SEA,,,,,MNC,,,0,173,173,17,4,-5.0,1,1,1,2.17640320733104,1,Singapore,SN,SN,1.3667,103.8,SN,1,Singapore,SN,SN,1.3667,103.8,SN,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,http://www.thestatesman.net/news/97413-searchers-return-to-retrieve-bodies-plane-wreckage.html
330166585,20150101,201501,2015,2015.0027,,,,,,,,,,,BUS,AIRLINE,,,,,,BUS,,,0,60,60,6,2,6.0,6,1,6,1.2110726643598602,0,,,,,,,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,http://cubiclane.com/2014/12/28/airasia-flight-missing-over-the-pacific-52536/
330166600,20150101,201501,2015,2015.0027,,,,,,,,,,,BUS,TRADER,,,,,,BUS,,,1,61,61,6,2,6.4,1,1,1,1.2371134020618602,0,,,,,,,4,"Pekalongan, Jawa Tengah, Indonesia",ID,ID07,-6.8886,109.675,-2691858,4,"Jepara, Jawa Timur, Indonesia",ID,ID08,-7.2392,112.72200000000001,10191357,20150101,http://www.thejakartapost.com/news/2015/01/02/jokowi-promises-support-klewer-market.html
330166655,20150101,201501,2015,2015.0027,,,,,,,,,,,BUS,AIRLINE,,,,,,BUS,,,0,190,190,19,4,-10.0,13,3,13,1.13849005678968,0,,,,,,,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,"http://www.ctnow.com/news/nationworld/chi-airasia-wreck-20141231,0,6654894.story"
