nama_titik,lokasi_jalan,lokasi_kecamatan,lokasi_kotamadya,sarana,jenis_reklame,bentuk_reklame,surat_keputusan_reklame,tanggal_surat_keputusan_reklame
"Titik B15B","Jl. Daan Mogot, Cengkareng Timur","Kecamatan Cengkareng"," Jakarta Barat","Tanggul Kali","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B16A","Jl. Kapuk Raya","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B16B","Jl. Kapuk Raya","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B17A","Jl. Lingkar luar barat, Tegal Alur","Kecamatan Kalideres"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B17B","Jl. Lingkar luar barat, Tegal Alur","Kecamatan Kalideres"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B18A","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B19A","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B19B","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B19C","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B19D","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B20A","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B20B","Jl. Lingkar luar barat, Cengkareng Barat","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B21A","Jl. Lingkar luar barat, Duri Kosambi","Kecamatan Cengkareng"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B22A","Jl. Lingkar luar barat, Kembangan Barat","Kecamatan Kembangan"," Jakarta Barat","Tanggul Kali","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B22B","Jl. Lingkar luar barat, Kembangan Barat","Kecamatan Kembangan"," Jakarta Barat","Tanggul Kali","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B23A","Jl. Lingkar luar barat, Kembangan Timur","Kecamatan Palmerah"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B25A","Jl. Kembang Kerep Puri/Jl Tol Merek","Kecamatan Kembangan"," Jakarta Barat","Taman","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B25B","Jl. Kembang Kerep Puri/Jl Tol Merek","Kecamatan Kembangan"," Jakarta Barat","Taman","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B26A","Jl. Kembang Kerep/Jl Meruya Raya","Kecamatan Kembangan"," Jakarta Barat","Taman","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B27A","Jl. Daan Mogot/ Terminal Kalideres","Kecamatan kalideres"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B27B","Jl. Daan Mogot/ Terminal Kalideres","Kecamatan kalideres"," Jakarta Barat","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik B28A","Jl. Peta Barat, Pegadungan Kalideres","Kecamatan kalideres"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B29A","Jl. Palmerah Barat/Jl. Rawa Belong","Kecamatan Kebon Jeruk"," Jakarta Barat","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik B30","Jl. Tomang Raya","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Horizontal","SK 55 THN 2002"," 25 April 2002"
"Titik B31","Jl. Letjen S.Parman - Tanjung Duren raya","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik B32","Jl. Letjen S.Parman - Tanjung Duren raya","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik B33","Jl. Pesanggrahan","Kecamatan Kembangan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik B34","Jl. Kyai Tapa-Jl. S.Parman","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik B35","Jl. Letjen S.Parman depan RS Harapan Kita","Kecamatan Palmerah"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B36","Jl. Letjen S.Parman","Kecamatan Palmerah"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B37","Jl. Letjen S.Parman","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B38","Jl. Letjen S.Parman","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B39","Jl. Satria/Jl. Latumeten","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B40","Jl. Tol Prof Dr Latumeten","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B41","Jl. Tol Angke/Jl. Prof.Dr Latumeten","Kecamatan Grogol Petamburan"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik B42","Jl. Hayam Wuruk/Jl. Gajah Mada","Kecamatan Taman Sari"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik……….. (No LRK 17/25)","Jl. Daan Mogot/Jl. Lingkar Luar Barat (Perempatan Cengkaren)","Kecamatan Cengkareng"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik……….. (No LRK 2633-34)","Jl. Raya Perjuangan","Kecamatan Kebon Jeruk"," Jakarta Barat","Taman","Billboard","Vertikal","SK 82 THN 2007"," 7 Juni 2007"
"Titik……….. (No Blad 38/27)","Jl. Gajah Mada/Jl. Hayam Wuruk/Jl. Ir. H Juanda/Jl. Veteran (di atas Kali Ciliwung)","Kecamatan Taman Sari"," Jakarta Barat","Melintang Kali","Billboard","Vertikal","SK 105 THN 2008"," 5 November 2008"
"Titik……….. (No Blad 37/24)","Jl. Gajah Mada/Jl. Hayam Wuruk/Jl. Ir. H Juanda/Jl. Veteran (di atas Kali Ciliwung)","Kecamatan Taman Sari"," Jakarta Barat","Melintang Kali","Billboard","Vertikal","SK 105 THN 2008",""
